twid	timestamp	predicted_event	predicted_city	latitude	longitude	predicted_faction
795286703204352000	1478464100.0	bombing	Hammuriyah	33.5296468	36.3848593	1
793519242440310785	1478039104.0	bombing	Haritan,Harithan	36.2878977	37.0838387	1
796324849274630144	1478711613.0	bombing	Hamah	35.9841881	37.1244316	1
635093397099950080	1440267439.0	bombing	Palmira, Palmyre, Tadmor, Tadmur, Tamar, Tedmor, Palmyra	34.5560155	38.2809746	4
793923719475232768	1478135539.0	bombing	Sarakeb, Saraqeb, Saraquib, Sarâqeb, Seraikin, Serakab, Seraqab, Seraqib, Serāqab, Sarāqib	35.8636111	36.8005556	0
742438543046397952	1465860517.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	1
797382573295017985	1478963794.0	diplomacy	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	4
796777300884852737	1478819486.0	bombing	Damascus	33.5130695	36.3095814	1
767374467588878336	1471805704.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	4
750727170184581120	1467836679.0	takeover	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
693184904486637569	1454121134.0	bombing	Palmira, Palmyre, Tadmor, Tadmur, Tamar, Tedmor, Palmyra	34.5560155	38.2809746	0
784711204505878529	1475939105.0	takeover	Tourkmane Bareh, Tourkmâne Bâreh, Turkmene Barett, Turkmène Barett, Turkumān Bāriḩ	36.5421116	37.3249494	3
777784449672949760	1474287637.0	bombing	Daail, Daal, Dael, Daél, Dâail, Dā`il	32.75	36.1333333	1
769493432477843456	1472310905.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	1
784693847188082689	1475934966.0	bombing	Hamah	35.9841881	37.1244316	1
686939616058949632	1452632141.0	bombing	Nu`man	36.464232	37.4330507	1
739944496444641281	1465265890.0	takeover	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
694511722502213633	1454437472.0	bombing	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	1
670143353888067584	1448627600.0	bombing	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	0
789036687443660800	1476970380.0	bombing	Ain Aissa, Aïn Aïssa, `Ayn `Īsá	36.3857242	38.8634267	1
777468817131700224	1474212385.0	bombing	Tayyar	36.0874038	40.7911135	0
765897234336641024	1471453505.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	3
772523404486377473	1473033307.0	clash	Fourat	35.3605962	40.1058158	0
772523404486377473	1473033307.0	clash	Zilif	36.6177713	37.6030506	0
722523288459689984	1461112350.0	bombing	Nu`man	36.464232	37.4330507	4
781392371531386881	1475147833.0	bombing	Homs	34.7333334	36.7166667	1
796505582677139456	1478754703.0	bombing	Idlib	35.9278306	36.6353017	4
730012857488789504	1462898002.0	bombing	Khan Tuman	36.1155677	37.0495639	4
797060073218445316	1478886904.0	bombing	Sarakeb, Saraqeb, Saraquib, Sarâqeb, Seraikin, Serakab, Seraqab, Seraqib, Serāqab, Sarāqib	35.8636111	36.8005556	1
690506340662431744	1453482515.0	clash	Fourat	35.3605962	40.1058158	2
789926825447264256	1477182605.0	bombing	Mari`	36.4814643	37.1968431	2
792524035594842113	1477801829.0	bombing	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	0
771648657418366976	1472824751.0	bombing	Damascus	33.5130695	36.3095814	1
783648508855390208	1475685738.0	bombing	Damascus	33.5130695	36.3095814	1
794184881513308161	1478197805.0	clash	Qdeim, Qdeïm, Qudaym	35.05	38.4166667	0
773154119208927232	1473183681.0	bombing	Kafr	35.7291667	35.8583333	1
762012885539287040	1470527404.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	1
796434866233606165	1478737843.0	bombing	Khunayz	36.244499	39.025678	1
796434866233606165	1478737843.0	bombing	Hish	35.5487261	36.6416144	1
758030470248599552	1469577922.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	1
761546024305434625	1470416095.0	bombing	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	4
761546024305434625	1470416095.0	bombing	Killi	36.1109045	36.69473	4
